Precinct,Bennet,,,Biden,,,Bloomberg,,,Buttigieg,,,Delaney,,,Gabbard,,,Klobuchar,,,Patrick,,,Sanders,,,Steyer,,,Warren,,,Yang,,,Other,,,Uncommitted,,
Northeast,0,0,0,6,10,0.3,0,0,0,2,0,0,0,0,0,1,0,0,2,4,0.15,0,0,0,4,6,0.15,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0
Denison Ward 1,0,0,0,17,22,0.3,0,0,0,10,13,0.15,0,0,0,0,0,0,6,0,0,0,0,0,32,33,0.3,0,0,0,3,0,0,16,16,0.15,0,0,0,0,0,0
Southeast,0,0,0,14,16,0.45,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0.15,0,0,0,2,0,0,3,0,0,8,9,0.15,1,0,0,0,0,0,0,0,0
Total,0,0,0,73,86,1.8,0,0,0,26,32,0.45,0,0,0,1,0,0,18,16,0.45,0,0,0,62,60,0.9,4,0,0,11,9,0.15,22,16,0.15,0,0,0,3,0,0
CLIVE 5,0,0,0,40,52,0.4143,0,0,0,81,98,0.8286,0,0,0,0,0,0,27,0,0,0,0,0,34,0,0,0,0,0,60,79,0.8286,13,0,0,0,0,0,0,0,0
BEAVER / DES MOINES,0,0,0,34,35,0.4143,0,0,0,30,37,0.4143,0,0,0,0,0,0,20,28,0.4143,0,0,0,15,22,0.4143,0,0,0,18,0,0,5,0,0,0,0,0,0,0,0
DESOTO,0,0,0,2,2,0,0,0,0,16,16,0.4143,0,0,0,0,0,0,5,5,0,0,0,0,9,9,0,0,0,0,6,6,0,6,6,0,0,0,0,0,0,0
WEST DES MOINES 224,0,0,0,5,5,0,0,0,0,20,20,0.4143,0,0,0,0,0,0,2,2,0,0,0,0,6,6,0,0,0,0,11,11,0,1,1,0,0,0,0,0,0,0
ADAMS,0,0,0,15,0,0,0,0,0,23,32,0.4143,0,0,0,0,0,0,13,31,0.4143,0,0,0,11,0,0,0,0,0,12,12,0,1,0,0,0,0,0,0,0,0
VAN METER,1,0,0,30,34,0.4143,0,0,0,32,40,0.4143,0,0,0,0,0,0,27,35,0.4143,0,0,0,22,27,0.4143,0,0,0,17,7,0,13,1,0,0,0,0,2,0,0
UNION,0,0,0,12,13,0.4143,0,0,0,19,24,0.4143,0,0,0,0,0,0,15,25,0.4143,0,0,0,11,0,0,4,0,0,8,0,0,5,0,0,0,0,0,0,0,0
SPRING VALLEY / DALLAS,0,0,0,17,17,0.4143,1,1,0,11,11,0,0,0,0,0,0,0,4,4,0,0,0,0,7,7,0,0,0,0,6,6,0,6,6,0,0,0,0,0,0,0
WAUKEE 4,2,0,0,32,39,0.4143,0,0,0,64,80,0.8286,0,0,0,0,0,0,40,48,0.4143,0,0,0,28,0,0,6,0,0,33,57,0.4143,29,0,0,0,0,0,0,0,0
WAUKEE 2,0,0,0,56,73,0.8286,1,0,0,65,77,0.8286,0,0,0,0,0,0,26,0,0,0,0,0,52,57,0.4143,6,0,0,49,64,0.4143,31,0,0,0,0,0,4,0,0
ADEL 2,0,0,0,34,40,0.4143,0,0,0,66,70,0.4143,0,0,0,0,0,0,29,0,0,0,0,0,31,32,0.4143,0,0,0,30,33,0.4143,0,0,0,0,0,0,0,0,0
WEST DES MOINES 221,0,0,0,84,101,0.8286,0,0,0,107,124,1.2429,0,0,0,0,0,0,51,0,0,0,0,0,76,80,0.8286,1,0,0,59,71,0.4143,17,0,0,0,0,0,0,0,0
PERRY 1,0,0,0,36,39,0.4143,0,0,0,27,29,0.4143,0,0,0,0,0,0,5,0,0,0,0,0,37,41,0.4143,0,0,0,20,22,0.4143,7,0,0,0,0,0,0,0,0
WEST DES MOINES 222,0,0,0,41,43,0.4143,0,0,0,65,65,0.4143,0,0,0,0,0,0,39,39,0.4143,0,0,0,55,55,0.4143,2,0,0,48,48,0.4143,0,0,0,0,0,0,0,0,0
WEST DES MOINES 226,0,0,0,18,0,0,0,0,0,33,40,0.4143,0,0,0,0,0,0,23,29,0.4143,0,0,0,52,55,0.4143,0,0,0,28,31,0.4143,4,0,0,0,0,0,0,0,0
WAUKEE 1,0,0,0,39,39,0.4143,0,0,0,59,59,0.8286,0,0,0,0,0,0,35,35,0.4143,0,0,0,48,48,0.4143,0,0,0,50,50,0.4143,0,0,0,0,0,0,0,0,0
CLIVE 6,0,0,0,47,53,0.4143,1,0,0,101,125,1.2429,0,0,0,0,0,0,22,0,0,0,0,0,41,47,0.4143,5,0,0,63,68,0.4143,15,0,0,0,0,0,0,0,0
WEST DES MOINES 223,0,0,0,28,29,0.4143,0,0,0,48,57,0.4143,0,0,0,0,0,0,24,26,0.4143,0,0,0,11,0,0,0,0,0,29,26,0.4143,14,0,0,4,0,0,0,0,0
URBANDALE 14,0,0,0,73,73,0.4143,0,0,0,79,79,0.8286,0,0,0,0,0,0,39,39,0.4143,0,0,0,0,0,0,1,0,0,44,45,0.4143,0,0,0,0,0,0,0,0,0
ADEL 1,0,0,0,21,24,0.4143,0,0,0,20,32,0.4143,0,0,0,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,20,29,0.4143,6,0,0,2,0,0,0,0,0
WAUKEE 6,0,0,0,40,46,0.4143,0,0,0,65,79,0.8286,0,0,0,0,0,0,18,0,0,0,0,0,43,49,0.4143,7,0,0,34,39,0.4143,11,0,0,0,0,0,0,5,0
PERRY 2,0,0,0,18,28,0.4143,0,0,0,29,36,0.8286,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,3,0,0,16,23,0.4143,3,0,0,0,0,0,5,0,0
WEST DES MOINES 321,0,0,0,35,0,0,1,0,0,56,66,0.4143,0,0,0,0,0,0,46,71,0.8286,0,0,0,34,42,0.4143,0,0,0,56,64,0.4143,30,0,0,0,0,0,0,0,0
LINCOLN /WASHINGTON /LINN,0,0,0,6,6,0,0,0,0,7,7,0,0,0,0,0,0,0,4,4,0,0,0,0,1,1,0,4,4,0,7,7,0.4143,1,1,0,0,0,0,0,0,0
URBANDALE 15,0,0,0,25,0,0,2,0,0,58,73,0.4143,0,0,0,0,0,0,31,49,0.4143,0,0,0,19,0,0,5,0,0,30,44,0.4143,7,7,0,0,0,0,0,4,0
Total,3,0,0,788,791,8.286,6,1,0,1.181,1.376,14.0862,0,0,0,0,0,0,567,470,5.3859,0,0,0,668,578,5.3859,44,4,0,754,842,7.8717,225,22,0,6,0,0,11,9,0
Northwest,0,0,0,9,9,0.12,0,0,0,7,8,0.12,0,0,0,1,1,0,2,0,0,0,0,0,4,3,0,0,0,0,4,6,0.09,0,0,0,0,0,0,0,0,0
Southwest,0,0,0,8,9,0.15,0,0,0,2,3,0.06,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast,0,0,0,5,5,0.09,1,0,0,5,6,0.09,0,0,0,0,0,0,4,5,0.06,0,0,0,7,7,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southeast,0,0,0,7,7,0.12,0,0,0,3,3,0.06,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomfield Ward 2,0,0,0,2,0,0,0,0,0,14,16,0.36,0,0,0,0,0,0,3,6,0.12,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Central,0,0,0,10,10,0.12,0,0,0,8,8,0.12,0,0,0,0,0,0,10,10,0.12,0,0,0,3,0,0,0,0,0,7,10,0.12,0,0,0,0,0,0,0,0,0
Bloomfield Ward 1,0,0,0,9,11,0.15,0,0,0,9,11,0.15,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,0,0,7,12,0.18,0,0,0,0,0,0,0,0,0
Total,0,0,0,50,51,0.75,1,0,0,48,55,0.96,0,0,0,1,1,0,24,21,0.3,0,0,0,24,16,0.24,4,0,0,20,28,0.39,0,0,0,0,0,0,0,0,0
BL/FA/Lamoni,1,0,0,19,0,0,0,0,0,37,41,0.2824,0,0,0,1,0,0,42,61,0.4706,0,0,0,47,54,0.4235,7,0,0,59,66,0.5176,9,0,0,2,2,0,1,1,0
BU/HA/MO/NB/Davis City/Pleasanton,0,0,0,0,0,0,0,0,0,2,2,0.0471,0,0,0,1,0,0,2,2,0.0471,0,0,0,1,2,0.0471,0,0,0,2,2,0.0471,0,0,0,0,0,0,0,0,0
FR/LC/Van Wert/Weldon,0,0,0,3,3,0.0941,0,0,0,4,5,0.1412,0,0,0,0,0,0,1,0,0,0,0,0,6,8,0.1882,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GR/RL/Grand River,0,0,0,2,2,0.0471,0,0,0,7,8,0.0941,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0471,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GG/HP/WE/Garden Grove/LeRoy,0,0,0,3,3,0.0941,0,0,0,5,5,0.1882,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1,0,0,27,8,0.2353,0,0,0,55,61,0.753,0,0,0,2,0,0,45,63,0.5177,0,0,0,59,69,0.753,8,0,0,62,68,0.5647,10,0,0,2,2,0,1,1,0
Milo/Prairie,0,0,0,10,10,0.225,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.3,0,0,0,6,0,0,0,0,0,15,17,0.375,0,0,0,0,0,0,0,4,0
Delaware,0,0,0,6,6,0.15,0,0,0,6,6,0.15,0,0,0,0,0,0,7,9,0.15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Delhi/Delaware Corp,0,0,0,9,11,0.3,0,0,0,3,0,0,0,0,0,0,0,0,9,10,0.225,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Ward 2,0,0,0,8,0,0,0,0,0,14,26,0.525,0,0,0,0,0,0,9,13,0.225,0,0,0,4,0,0,7,0,0,14,14,0.3,0,0,0,0,0,0,0,0,0
South Fork/Union,0,0,0,11,11,0.15,0,0,0,11,13,0.225,0,0,0,0,0,0,8,9,0.15,0,0,0,5,0,0,1,0,0,12,14,0.225,0,0,0,0,0,0,0,0,0
Adams/Hazel Green,0,0,0,3,0,0,0,0,0,7,8,0.15,0,0,0,0,0,0,1,0,0,0,0,0,4,7,0.15,3,0,0,6,9,0.225,0,0,0,0,0,0,0,0,0
Manchester Ward 3,0,0,0,15,15,0.3,0,0,0,15,15,0.3,0,0,0,0,0,0,9,9,0.225,0,0,0,0,0,0,9,9,0.15,10,10,0.225,0,0,0,0,0,0,0,0,0
Oneida/N Fork/Bremen,0,0,0,4,0,0,0,0,0,13,14,0.375,0,0,0,0,0,0,10,16,0.375,0,0,0,5,0,0,4,0,0,3,7,0.225,0,0,0,0,0,0,3,0,0
Manchester Ward 1,0,0,0,9,9,0.15,0,0,0,12,12,0.225,0,0,0,0,0,0,7,7,0.15,0,0,0,10,10,0.225,0,0,0,7,7,0.15,0,0,0,0,0,0,0,0,0
Colony,0,0,0,12,12,0.225,0,0,0,3,3,0.075,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0.075,0,0,0,0,0,0,0,0,0
Total,0,0,0,87,74,1.5,0,0,0,84,97,2.025,0,0,0,0,0,0,71,84,1.8,0,0,0,37,18,0.375,24,9,0.15,70,81,1.8,0,0,0,0,0,0,3,4,0
PCT 4,0,0,0,20,21,0.36,0,0,0,21,22,0.36,0,0,0,0,0,0,2,0,0,0,0,0,22,23,0.72,2,0,0,5,0,0,16,18,0.36,2,0,0,0,0,0
PCT PW,1,0,0,3,12,0.36,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,8,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0
PCT MY,0,0,0,22,25,0.36,0,0,0,29,34,0.72,0,0,0,0,0,0,8,15,0.36,0,0,0,10,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,7,0
PCT UNION,0,0,0,5,0,0,0,0,0,6,10,0.36,0,0,0,0,0,0,3,0,0,0,0,0,6,8,0.36,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
PCT 6,0,0,0,6,0,0,0,0,0,12,20,0.36,0,0,0,0,0,0,1,0,0,0,0,0,28,33,0.36,0,0,0,6,0,0,12,14,0.36,0,0,0,2,0,0
PCT WB,0,0,0,22,24,0.36,0,0,0,26,31,0.72,0,0,0,3,0,0,1,0,0,0,0,0,30,31,0.72,0,0,0,18,25,0.36,6,0,0,0,0,0,5,0,0
PCT FM,0,0,0,16,17,0.36,0,0,0,34,37,0.72,0,0,0,0,0,0,9,0,0,0,0,0,16,17,0.36,0,0,0,21,26,0.36,2,0,0,0,0,0,0,0,0
PCT HJ,0,0,0,9,0,0,0,0,0,15,21,0.36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,15,0.36,1,0,0,0,0,0,0,1,0
PCT 8,2,0,0,35,39,0.72,0,0,0,69,76,1.08,0,0,0,0,0,0,10,0,0,0,0,0,30,35,0.72,4,0,0,29,32,0.36,9,0,0,0,0,0,1,0,0
PCT 9,0,0,0,33,42,0.72,0,0,0,43,51,1.08,0,0,0,0,0,0,11,0,0,0,0,0,26,26,0.36,6,0,0,21,26,0.36,6,0,0,0,0,0,0,0,0
PCT 2,0,0,0,26,31,0.72,0,0,0,43,51,0.72,0,0,0,1,0,0,10,0,0,0,0,0,30,35,0.72,7,0,0,25,30,0.36,8,0,0,0,0,0,2,0,0
PCT 7,0,0,0,39,42,0.36,0,0,0,43,54,0.72,0,0,0,0,0,0,19,0,0,0,0,0,49,50,0.72,3,0,0,25,30,0.36,3,0,0,0,0,0,1,6,0
Total,3,0,0,236,253,4.32,0,0,0,344,407,7.2,0,0,0,4,0,0,76,15,0.36,0,0,0,256,266,5.04,23,0,0,177,184,2.52,65,32,0.72,2,0,0,12,14,0
Precinct No. 08,0,0,0,15,15,0.25,0,0,0,27,27,0.5,0,0,0,0,0,0,16,16,0.25,0,0,0,24,24,0.5,0,0,0,15,15,0.25,0,0,0,0,0,0,0,0,0
Precinct No. 01,0,0,0,7,8,0.125,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0.125,0,0,0,8,9,0.25,2,0,0,6,7,0.125,3,0,0,0,0,0,0,2,0
Precinct No. 14,0,0,0,6,7,0.125,0,0,0,6,10,0.125,0,0,0,0,0,0,5,0,0,0,0,0,8,8,0.125,0,0,0,8,8,0.125,0,0,0,0,0,0,0,0,0
Precinct No. 11,0,0,0,9,10,0.125,0,0,0,14,17,0.125,0,0,0,0,0,0,17,18,0.25,0,0,0,9,17,0.25,3,0,0,6,0,0,4,0,0,0,0,0,0,0,0
Precinct No. 02,0,0,0,18,19,0.25,0,0,0,13,16,0.25,0,0,0,0,0,0,9,11,0.125,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Precinct No. 04,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,7,0.125,0,0,0,4,4,0.125,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Precinct No. 03,0,0,0,14,14,0.25,0,0,0,14,14,0.25,0,0,0,0,0,0,10,10,0.125,0,0,0,8,8,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precinct No. 12,0,0,0,7,7,0.125,0,0,0,9,14,0.125,0,0,0,0,0,0,7,7,0.125,0,0,0,6,7,0.125,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0
Precinct No. 06,0,0,0,3,2,0,0,0,0,3,3,0.125,0,0,0,0,0,0,3,4,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0,81,82,1.25,0,0,0,91,101,1.5,0,0,0,0,0,0,72,79,1.25,0,0,0,74,77,1.5,8,0,0,40,30,0.5,9,0,0,0,0,0,0,4,0
Dubuque_19,0,0,0,46,50,0.5333,0,0,0,47,61,0.5333,0,0,0,2,0,0,24,0,0,0,0,0,74,79,0.8,0,0,0,55,70,0.8,13,0,0,0,0,0,0,0,0
Dubuque_11,0,0,0,30,30,0.5333,0,0,0,29,29,0.5333,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0.8,0,0,0,22,22,0.2667,5,5,0,0,0,0,0,0,0
Dubuque_42,0,0,0,26,27,0.5333,0,0,0,30,30,0.5333,0,0,0,2,0,0,18,18,0.2667,0,0,0,18,19,0.2667,0,0,0,18,18,0.2667,0,0,0,0,0,0,2,2,0
Dubuque_17,0,0,0,9,0,0,0,0,0,17,19,0.2667,0,0,0,0,0,0,11,18,0.2667,0,0,0,45,46,0.5333,0,0,0,21,24,0.2667,4,0,0,0,0,0,3,0,0
Dubuque_44,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,2,2,0.2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dubuque_08,0,0,0,36,42,0.5333,0,0,0,26,35,0.5333,0,0,0,1,1,0,18,24,0.2667,0,0,0,22,30,0.5333,14,0,0,14,0,0,1,0,0,0,0,0,0,0,0
Dubuque_32,0,0,0,35,36,0.5333,0,0,0,84,85,1.0667,0,0,0,0,0,0,33,33,0.5333,0,0,0,35,35,0.5333,0,0,0,24,0,0,7,0,0,0,0,0,2,0,0
Dubuque_37,0,0,0,13,13,0.2667,0,0,0,7,8,0.2667,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0.2667,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0
Dubuque_41,0,0,0,19,20,0.5333,1,0,0,29,30,0.8,0,0,0,1,0,0,16,18,0.2667,0,0,0,8,14,0.2667,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0
Dubuque_35,0,0,0,7,0,0,0,0,0,16,20,0.2667,0,0,0,0,0,0,12,21,0.5333,0,0,0,9,11,0.2667,4,0,0,8,0,0,0,0,0,0,0,0,2,6,0
Dubuque_04,1,0,0,44,59,1.0667,0,0,0,45,53,0.8,0,0,0,2,0,0,18,0,0,0,0,0,41,42,0.8,9,0,0,32,34,0.5333,8,0,0,0,0,0,1,0,0
Dubuque_10,0,0,0,31,42,0.5333,2,0,0,55,61,0.8,0,0,0,5,0,0,24,0,0,0,0,0,47,62,1.0667,2,0,0,34,43,0.5333,8,0,0,0,0,0,0,0,0
Dubuque_12,0,0,0,49,52,1.0667,1,0,0,23,29,0.5333,0,0,0,1,0,0,11,0,0,0,0,0,28,28,0.5333,2,0,0,20,26,0.5333,2,0,0,0,0,0,0,0,0
Dubuque_16,0,0,0,14,4,0,0,0,0,6,4,0,0,0,0,2,0,0,0,0,0,0,0,0,54,57,0.5333,0,0,0,32,41,0.5333,19,21,0.2667,0,0,0,0,0,0
Dubuque_18,0,0,0,36,40,0.2667,0,0,0,38,50,0.5333,0,0,0,0,0,0,9,0,0,0,0,0,67,75,0.5333,1,0,0,41,46,0.5333,21,0,0,1,6,0,3,0,0
Dubuque_09a,0,0,0,28,35,0.2667,0,0,0,39,49,0.5333,0,0,0,0,0,0,17,0,0,0,0,0,78,92,0.8,0,0,0,40,47,0.5333,26,0,0,0,0,0,0,5,0
Dubuque_43,0,0,0,38,38,0.5333,0,0,0,42,42,0.8,0,0,0,0,0,0,20,20,0,0,0,0,23,23,0.5333,0,1,0,28,28,0.5333,1,1,0,0,0,0,0,0,0
Dubuque_01,0,0,0,65,68,0.8,0,0,0,63,78,0.8,0,0,0,0,0,0,44,44,0.5333,0,0,0,34,0,0,0,0,0,41,53,0.5333,7,0,0,0,0,0,0,0,0
Dubuque_13,0,0,0,10,13,0,0,0,0,27,33,0.8,0,0,0,0,0,0,8,0,0,0,0,0,31,31,0.5333,0,0,0,18,22,0.5333,10,0,0,0,0,0,0,5,0
Dubuque_05,0,0,0,43,53,0.8,0,0,0,53,68,1.0667,0,0,0,0,0,0,27,0,0,0,0,0,36,37,0.5333,1,0,0,29,35,0.5333,4,0,0,3,0,0,0,0,0
Dubuque_33,0,0,0,26,28,0.5333,0,0,0,32,41,0.8,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,20,29,0.5333,6,0,0,0,0,0,0,0,0
Dubuque_06,0,0,0,30,30,0.5333,0,0,0,42,42,0.5333,0,0,0,0,0,0,21,30,0.2667,0,0,0,38,40,0.5333,0,0,0,39,39,0.5333,11,0,0,0,0,0,0,0,0
Total,1,0,0,637,682,9.8665,4,0,0,751,868,12.7999,0,0,0,16,1,0,340,229,2.9334,0,0,0,754,778,10.9332,36,1,0,545,577,7.9997,154,27,0.2667,4,6,0,13,20,0
EL-LN-Doltdver,0,0,0,1,1,0,0,0,0,2,2,0.1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
HL-TM-Waltdngford,0,0,0,3,5,0.1143,0,0,0,4,8,0.1143,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Estherville Ward 1,0,0,0,7,7,0.1143,0,0,0,8,8,0.1143,0,0,0,0,0,0,9,9,0.1143,0,0,0,5,6,0.1143,7,7,0.1143,1,0,0,0,0,0,0,0,0,0,0,0
AG-IL-Armstrong,0,0,0,2,0,0,0,0,0,4,6,0.1143,0,0,0,0,0,0,6,6,0.1143,0,0,0,6,6,0.1143,4,4,0.1143,0,0,0,0,0,0,0,0,0,0,0,0
Estherville Ward 2,0,0,0,11,11,0.2286,0,0,0,7,11,0.2286,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,4,5,0.1143,0,0,0,0,0,0,0,0,0
Estherville Ward 4,0,0,0,0,0,0,0,0,0,6,6,0.1143,0,0,0,0,0,0,6,6,0.1143,0,0,0,16,16,0.1143,0,0,0,6,6,0.1143,0,0,0,0,0,0,0,0,0
Estherville Ward 5,0,0,0,2,0,0,0,0,0,4,6,0.1143,0,0,0,0,0,0,1,0,0,0,0,0,9,9,0.1143,0,0,0,6,6,0.1143,0,0,0,0,0,0,0,0,0
Estherville Ward 3,0,0,0,3,0,0,0,0,0,11,19,0.2286,0,0,0,0,0,0,6,0,0,0,0,0,17,19,0.3429,0,0,0,8,10,0.1143,5,0,0,0,0,0,0,0,0
Total,0,0,0,29,24,0.4572,0,0,0,46,66,1.143,0,0,0,0,0,0,33,21,0.3429,0,0,0,58,58,0.8001,11,11,0.2286,27,28,0.4572,5,0,0,0,0,0,2,0,0
FAIRFIELD-PUTNAM TWP,0,0,0,9,9,0.12,0,0,0,3,3,0.12,0,0,0,0,0,0,3,3,0.12,0,0,0,1,0,0,3,3,0.12,0,0,0,0,0,0,0,0,0,0,0,0
ILLYRIA TWP,0,0,0,1,0,0,0,0,0,14,15,0.24,0,0,0,0,0,0,4,7,0.12,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FAIRBANK INC,0,0,0,7,11,0.24,0,0,0,4,9,0.12,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0
ORAN TWP,0,0,0,3,0,0,0,0,0,3,10,0.12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,5,0.12,3,0,0,0,0,0,0,0,0,0,0,0
WEST UNION - WARD 2,0,0,0,3,0,0,0,0,0,7,10,0.24,0,0,0,0,0,0,4,0,0,0,0,0,4,5,0.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CLERMONT TWP,0,0,0,5,5,0.12,0,0,0,8,8,0.12,0,0,0,0,0,0,5,6,0.12,0,0,0,5,7,0.12,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
OELWEIN - WARD 4,0,0,0,26,29,0.36,0,0,0,30,40,0.48,0,0,0,2,0,0,13,17,0.24,0,0,0,15,18,0.24,2,0,0,14,0,0,2,0,0,0,0,0,2,0,0
OELWEIN - WARD 2,0,0,0,9,10,0.24,0,0,0,13,17,0.36,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.24,3,0,0,2,0,0,3,0,0,0,0,0,0,2,0
SCOTT TWP,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EDEN TWP,0,0,0,2,6,0.12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0.12,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
HARLAN TWP,0,0,0,1,1,0.12,0,0,0,3,3,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEASANT VALLEY TWP,0,0,0,3,0,0,0,0,0,13,14,0.24,0,0,0,0,0,0,14,17,0.24,0,0,0,7,8,0.12,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0
WEST UNION - WARD 3,0,0,0,7,7,0.12,0,0,0,10,10,0.12,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.12,0,0,0,5,6,0.12,2,0,0,0,0,0,0,0,0
WEST UNION - WARD 1,0,0,0,8,8,0.12,0,0,0,11,11,0.12,0,0,0,0,0,0,7,7,0.12,0,0,0,2,0,0,0,0,0,4,6,0.12,6,7,0.12,0,0,0,1,0,0
WESTFIELD TWP,0,0,0,6,0,0,0,0,0,18,20,0.24,0,0,0,0,0,0,11,17,0.24,0,0,0,15,17,0.24,0,0,0,13,13,0.12,4,0,0,0,0,0,0,0,0
DOVER TWP,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,5,0.12,5,7,0.12,2,0,0,0,0,0,0,2,0
OELWEIN - WARD 3,0,0,0,12,16,0.36,0,0,0,14,18,0.36,0,0,0,0,0,0,4,0,0,0,0,0,10,10,0.24,3,0,0,6,8,0.12,3,0,0,0,0,0,0,0,0
BANKS-FREMONT TWP,0,0,0,6,10,0.12,0,0,0,10,11,0.24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,4,0.12,2,0,0,0,0,0,0,0,0
JEFFERSON TWP,0,0,0,6,7,0.12,0,0,0,12,12,0.12,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,7,0.12,0,0,0,0,0,0,0,0,0
Total,0,0,0,116,119,2.16,0,0,0,177,211,3.6,0,0,0,2,0,0,77,74,1.2,0,0,0,90,93,1.68,18,13,0.36,68,51,0.84,28,7,0.12,0,0,0,7,6,0
St Charles-Riverton,0,0,0,20,20,0.2222,2,0,0,28,30,0.4444,0,0,0,0,0,0,18,20,0.2222,0,0,0,4,0,0,0,0,0,14,18,0.2222,0,0,0,0,0,0,2,0,0
Floyd-Cedar-Niles,0,0,0,6,0,0,0,0,0,10,11,0.2222,0,0,0,0,0,0,18,21,0.3333,0,0,0,11,11,0.2222,4,0,0,6,9,0.1111,3,0,0,0,0,0,0,6,0
Charles City Corp/CC3,0,0,0,14,15,0.2222,0,0,0,17,20,0.3333,0,0,0,0,0,0,18,20,0.3333,0,0,0,14,16,0.3333,0,0,0,23,23,0.4444,9,0,0,0,0,0,0,0,0
Charles City Corp/CC1,0,0,0,21,21,0.3333,0,0,0,22,22,0.3333,0,0,0,0,0,0,20,20,0.3333,0,0,0,18,18,0.3333,0,0,0,16,16,0.2222,0,0,0,0,0,0,0,0,0
Scott-Union-Pleasant Grove,0,0,0,7,7,0.2222,0,0,0,5,5,0.1111,0,0,0,0,0,0,5,6,0.1111,0,0,0,2,0,0,0,0,0,7,7,0.1111,2,0,0,0,0,0,0,0,0
Rock Grove-Rudd,0,0,0,17,17,0.3333,0,0,0,16,20,0.3333,0,0,0,0,0,0,20,27,0.4444,0,0,0,9,15,0.3333,1,0,0,8,0,0,6,0,0,0,0,0,2,0,0
